project_name, github, classes, total_sloc
Pull-to-Refresh.Rentals-Android,https://github.com/Yalantis/Pull-to-Refresh.Rentals-Android,9,1218
pysonar2,https://github.com/yinwang0/pysonar2,112,14329
quasar,https://github.com/puniverse/quasar,545,86583
realm-java,https://github.com/Realm/realm-java,631,135194
rebound,https://github.com/facebook/rebound,37,6458
RecyclerViewAnimators,https://github.com/wasabeef/RecyclerViewAnimators,1,13
retrofit,https://github.com/square/retrofit,283,36610
retrolambda,https://github.com/orfjackal/retrolambda,80,6904
RippleEffect,https://github.com/traex/RippleEffect,7,855
roboguice,https://github.com/roboguice/roboguice,697,94860
robospice,https://github.com/stephanenicolas/robospice,261,23671
RoundedImageView,https://github.com/vinc3m1/RoundedImageView,8,1913
RxAndroid,https://github.com/ReactiveX/RxAndroid,11,1842
rx-android-architecture,https://github.com/tehmou/rx-android-architecture,136,12034
RxJava,https://github.com/Netflix/RxJava,1862,466305
scalpel,https://github.com/JakeWharton/scalpel,4,726
scribe-java,https://github.com/fernandezpablo85/scribe-java,292,20173
ShowcaseView,https://github.com/amlcurran/ShowcaseView,39,3511
Side-Menu.Android,https://github.com/Yalantis/Side-Menu.Android,9,599
SlidingMenu,https://github.com/jfeinstein10/SlidingMenu,33,4932
SmoothProgressBar,https://github.com/castorflex/SmoothProgressBar,19,2659
spark,https://github.com/perwendel/spark,183,21091
spring-mvc-showcase,https://github.com/spring-projects/spring-mvc-showcase,58,2905
springside4,https://github.com/springside/springside4,200,22244
sqlbrite,https://github.com/square/sqlbrite,32,5226
StickyListHeaders,https://github.com/emilsjolander/StickyListHeaders,15,2780
storio,https://github.com/pushtorefresh/storio,527,56735
storm,https://github.com/nathanmarz/storm,449,67422
SuperRecyclerView,https://github.com/Malinskiy/SuperRecyclerView,23,3332
Supertoasts,https://github.com/JohnPersano/Supertoasts,20,4792
swagger-codegen,https://github.com/wordnik/swagger-codegen,3249,424554
SwipeBackLayout,https://github.com/ikew0ng/SwipeBackLayout,10,2772
SystemBarTint,https://github.com/jgilfelt/SystemBarTint,6,1192
TextSecure,https://github.com/WhisperSystems/TextSecure,1911,253760
timber,https://github.com/JakeWharton/timber,7,1014
titan,https://github.com/thinkaurelius/titan,904,107792
twitter4j,https://github.com/yusuke/twitter4j,413,55562
twoway-view,https://github.com/lucasr/twoway-view,18,4642
UltimateAndroid,https://github.com/cymcsg/UltimateAndroid,2962,410282
vert.x,https://github.com/eclipse/vert.x,833,174943
ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator,42,4059
voldemort,https://github.com/voldemort/voldemort,997,243389
webmagic,https://github.com/code4craft/webmagic,230,17760
weiciyuan,https://github.com/qii/weiciyuan,519,78936
wildfly,https://github.com/wildfly/wildfly,9675,1018399
yuicompressor,https://github.com/yui/yuicompressor,12,7948
zxing,https://github.com/zxing/zxing,499,67646
